views,likes_x,dislikes,comment_total,L/D,likes_y,replies,poitive_score,negative_score,neutral_score,compound_score
70089,6122,65,388,94.18461538461555,0.16,0.16,0.2822733333333333,0.029520000000000005,0.6882700000000002,0.42021333333333305
284397,23482,56,1674,419.3214285714272,0.126,0.044,0.3165979999999997,0.020462000000000004,0.6629480000000004,0.5060370000000001
64563,256,33,436,7.757575757575752,5.024096385542169,2.8714859437751006,0.14387951807228913,0.09449397590361451,0.7616345381526104,0.008672289156626512
109422,200,14,0,14.285714285714286,,,0.0,0.0,1.0,0.0
5292941,187251,17328,19816,10.806267313019367,0.08,0.005,0.18646499999999996,0.10174500000000003,0.7118049999999999,0.1819399999999999
29837,203,46,174,4.413043478260874,2.8903508771929824,0.9868421052631579,0.10949122807017547,0.12801315789473683,0.7625964912280704,-0.058261842105263174
459829,10606,649,1018,16.342064714946257,2.2342857142857144,0.92,0.126102857142857,0.09640571428571422,0.7775028571428567,0.07127699999999992
353144,16508,386,811,42.766839378238544,0.45,0.01,0.26425500000000013,0.03922749999999999,0.6965299999999998,0.2898747499999996
4885,10,9,34,1.1111111111111114,1.8823529411764706,0.35294117647058826,0.09755882352941177,0.19364705882352942,0.7088235294117649,-0.3349882352941176
50664,331,11,17,30.090909090909047,1.0121951219512195,0.25609756097560976,0.355841463414634,0.034560975609756094,0.6096585365853656,0.5961207317073173
109754,855,46,213,18.586956521739154,5.7669172932330826,1.1278195488721805,0.2866315789473683,0.08077443609022554,0.6326165413533832,0.2476947368421053
87619,5369,42,287,127.83333333333326,0.7466666666666667,0.02666666666666667,0.2696766666666666,0.08143666666666664,0.6489033333333332,0.2409773333333331
378117,6566,355,1463,18.495774647887362,0.088,0.004,0.2939620000000003,0.06563200000000001,0.6403819999999996,0.36029599999999984
302819,1613,39,403,41.35897435897415,0.634,0.08,0.21600199999999997,0.12239799999999998,0.6615920000000001,0.2221063999999996
598144,31999,2228,5286,14.362208258527918,20.696,1.77,0.120398,0.13561800000000004,0.7440119999999999,-0.07824059999999995
21964,2356,37,284,63.675675675675485,0.08,0.03,0.25775499999999996,0.039450000000000006,0.7028050000000001,0.28561449999999994
483496,1369,1645,1115,0.8322188449848139,1.1725,0.075,0.09967375000000007,0.17555874999999976,0.7247562500000007,-0.11037274999999999
1915416,68993,4777,9122,14.442746493615234,0.15,0.062,0.18288200000000004,0.11040600000000007,0.7067079999999998,0.1208442
382354,27393,395,1988,69.34936708860833,0.254,0.042,0.21848000000000004,0.07266799999999998,0.708852,0.23394279999999992
3864917,322474,1450,27422,222.3958620689663,0.254,0.186,0.28224000000000016,0.08379800000000003,0.6339739999999998,0.2639474000000002
17515,68,76,38,0.894736842105261,2.475177304964539,0.09929078014184398,0.1701843971631206,0.11057446808510646,0.7192056737588656,-0.004866666666666666
506670,14809,387,1327,38.26614987080075,0.0875,0.01,0.17198249999999995,0.06976250000000003,0.7582575000000001,0.1124819999999999
3059399,201647,3492,17160,57.745418098510946,0.085,0.0,0.24472000000000002,0.06885500000000003,0.6814199999999999,0.236757
173246,4736,129,590,36.71317829457381,2.17,0.26,0.15148599999999995,0.054116,0.7943959999999994,0.1748971999999997
443779,15214,682,2172,22.307917888563136,0.08,0.012,0.18229799999999974,0.097728,0.7199400000000004,0.2696917999999996
164625,6688,383,1610,17.462140992167264,0.1390284757118928,0.07537688442211055,0.17426968174204355,0.05968341708542718,0.7660619765494132,0.18730485762144042
461109,25260,370,1429,68.27027027027003,0.2275,0.0275,0.20601250000000015,0.032217499999999996,0.7617775000000006,0.2002264999999999
30851,261,65,49,4.015384615384618,2.4193548387096775,0.6451612903225806,0.11803225806451614,0.1511290322580645,0.7308709677419355,0.03482903225806451
384333,13379,371,1330,36.061994609164586,0.1375,0.0575,0.08865749999999999,0.14355250000000003,0.7678325000000003,-0.15518825000000003
