video_id,category_id,views,likes_x,dislikes,comment_total,L/D,likes_y,replies,poitive_score,negative_score,neutral_score,compound_score
-_CmfnzbLFc,22,,,,,,,,,,,
-_CmfnzbLFc,23,,,,,,,,,,,
-_CmfnzbLFc,24,107469.0,1487.0,31.0,414.0,47.967741935483645,2.595,0.2525,0.21993750000000012,0.048825,0.7312075000000007,0.29527300000000006
-_CmfnzbLFc,25,,,,,,,,,,,
-_CmfnzbLFc,26,,,,,,,,,,,
-_CmfnzbLFc,27,,,,,,,,,,,
-_CmfnzbLFc,28,,,,,,,,,,,
-_CmfnzbLFc,29,,,,,,,,,,,
-_CmfnzbLFc,43,,,,,,,,,,,
-_Q5kO4YXFs,1,,,,,,,,,,,
-_Q5kO4YXFs,2,,,,,,,,,,,
-_Q5kO4YXFs,10,,,,,,,,,,,
-_Q5kO4YXFs,15,,,,,,,,,,,
-_Q5kO4YXFs,17,,,,,,,,,,,
-_Q5kO4YXFs,19,,,,,,,,,,,
-_Q5kO4YXFs,20,,,,,,,,,,,
-_Q5kO4YXFs,22,4390432.0,17145.0,494.0,954.0,34.70647773279366,1.5285714285714285,0.11428571428571428,0.2563400000000001,0.1062142857142857,0.6345799999999998,0.18279142857142852
-_Q5kO4YXFs,23,,,,,,,,,,,
-_Q5kO4YXFs,24,,,,,,,,,,,
-_Q5kO4YXFs,25,,,,,,,,,,,
-_Q5kO4YXFs,26,,,,,,,,,,,
-_Q5kO4YXFs,27,,,,,,,,,,,
-_Q5kO4YXFs,28,,,,,,,,,,,
-_Q5kO4YXFs,29,,,,,,,,,,,
-_Q5kO4YXFs,43,,,,,,,,,,,
-bQUBzPZHHQ,1,,,,,,,,,,,
-bQUBzPZHHQ,2,,,,,,,,,,,
-bQUBzPZHHQ,10,,,,,,,,,,,
-bQUBzPZHHQ,15,,,,,,,,,,,
-bQUBzPZHHQ,17,,,,,,,,,,,
-bQUBzPZHHQ,19,,,,,,,,,,,
-bQUBzPZHHQ,20,284658.0,1818.0,429.0,790.0,4.237762237762172,0.42333333333333334,0.11,0.15265333333333325,0.09019333333333336,0.757144999999999,0.09254749999999998
-bQUBzPZHHQ,22,,,,,,,,,,,
-bQUBzPZHHQ,23,,,,,,,,,,,
-bQUBzPZHHQ,24,,,,,,,,,,,
-bQUBzPZHHQ,25,,,,,,,,,,,
-bQUBzPZHHQ,26,,,,,,,,,,,
-bQUBzPZHHQ,27,,,,,,,,,,,
-bQUBzPZHHQ,28,,,,,,,,,,,
-bQUBzPZHHQ,29,,,,,,,,,,,
-bQUBzPZHHQ,43,,,,,,,,,,,
-cYk6sbe11c,1,,,,,,,,,,,
-cYk6sbe11c,2,,,,,,,,,,,
-cYk6sbe11c,10,,,,,,,,,,,
-cYk6sbe11c,15,,,,,,,,,,,
-cYk6sbe11c,17,,,,,,,,,,,
-cYk6sbe11c,19,,,,,,,,,,,
-cYk6sbe11c,20,,,,,,,,,,,
-cYk6sbe11c,22,,,,,,,,,,,
-cYk6sbe11c,23,,,,,,,,,,,
-cYk6sbe11c,24,,,,,,,,,,,
-cYk6sbe11c,25,329907.0,1158.0,190.0,434.0,6.0947368421052515,0.673469387755102,0.4387755102040816,0.15766326530612249,0.0769795918367347,0.7551734693877552,0.1361948979591837
-cYk6sbe11c,26,,,,,,,,,,,
-cYk6sbe11c,27,,,,,,,,,,,
-cYk6sbe11c,28,,,,,,,,,,,
-cYk6sbe11c,29,,,,,,,,,,,
-cYk6sbe11c,43,,,,,,,,,,,
-cjfTG8DbwA,1,,,,,,,,,,,
-cjfTG8DbwA,2,,,,,,,,,,,
-cjfTG8DbwA,10,,,,,,,,,,,
-cjfTG8DbwA,15,,,,,,,,,,,
-cjfTG8DbwA,17,,,,,,,,,,,
-cjfTG8DbwA,19,,,,,,,,,,,
-cjfTG8DbwA,20,,,,,,,,,,,
-cjfTG8DbwA,22,,,,,,,,,,,
-cjfTG8DbwA,23,,,,,,,,,,,
-cjfTG8DbwA,24,,,,,,,,,,,
-cjfTG8DbwA,25,,,,,,,,,,,
-cjfTG8DbwA,26,,,,,,,,,,,
-cjfTG8DbwA,27,685504.0,25437.0,1151.0,4983.0,22.099913119026773,0.09,0.0775,0.12387750000000007,0.08482749999999997,0.791315,0.07617125000000005
-cjfTG8DbwA,28,,,,,,,,,,,
-cjfTG8DbwA,29,,,,,,,,,,,
-cjfTG8DbwA,43,,,,,,,,,,,
-jFgNreZPf0,1,,,,,,,,,,,
-jFgNreZPf0,2,,,,,,,,,,,
-jFgNreZPf0,10,1530990.0,86275.0,2583.0,9328.0,33.401084010840236,0.126,0.014,0.1960260000000001,0.08907999999999998,0.7128999999999999,0.1649281999999999
-jFgNreZPf0,15,,,,,,,,,,,
-jFgNreZPf0,17,,,,,,,,,,,
-jFgNreZPf0,19,,,,,,,,,,,
-jFgNreZPf0,20,,,,,,,,,,,
-jFgNreZPf0,22,,,,,,,,,,,
-jFgNreZPf0,23,,,,,,,,,,,
-jFgNreZPf0,24,,,,,,,,,,,
-jFgNreZPf0,25,,,,,,,,,,,
-jFgNreZPf0,26,,,,,,,,,,,
-jFgNreZPf0,27,,,,,,,,,,,
-jFgNreZPf0,28,,,,,,,,,,,
-jFgNreZPf0,29,,,,,,,,,,,
-jFgNreZPf0,43,,,,,,,,,,,
-otJ1LJGzcc,1,,,,,,,,,,,
-otJ1LJGzcc,2,,,,,,,,,,,
-otJ1LJGzcc,10,,,,,,,,,,,
-otJ1LJGzcc,15,,,,,,,,,,,
-otJ1LJGzcc,17,,,,,,,,,,,
-otJ1LJGzcc,19,,,,,,,,,,,
-otJ1LJGzcc,20,,,,,,,,,,,
-otJ1LJGzcc,22,,,,,,,,,,,
-otJ1LJGzcc,23,,,,,,,,,,,
-otJ1LJGzcc,24,,,,,,,,,,,
-otJ1LJGzcc,25,1539430.0,4225.0,842.0,7695.0,5.0178147268408475,0.622,0.15,0.08383599999999995,0.15558400000000003,0.7605879999999999,-0.2360220000000003
-otJ1LJGzcc,26,,,,,,,,,,,
-otJ1LJGzcc,27,,,,,,,,,,,
-otJ1LJGzcc,28,,,,,,,,,,,
-otJ1LJGzcc,29,,,,,,,,,,,
-otJ1LJGzcc,43,,,,,,,,,,,
-p6WWRarjNs,1,,,,,,,,,,,
-p6WWRarjNs,2,,,,,,,,,,,
-p6WWRarjNs,10,,,,,,,,,,,
-p6WWRarjNs,15,,,,,,,,,,,
-p6WWRarjNs,17,,,,,,,,,,,
-p6WWRarjNs,19,,,,,,,,,,,
-p6WWRarjNs,20,,,,,,,,,,,
-p6WWRarjNs,22,,,,,,,,,,,
-p6WWRarjNs,23,,,,,,,,,,,
-p6WWRarjNs,24,,,,,,,,,,,
-p6WWRarjNs,25,768475.0,21268.0,878.0,1479.0,24.223234624145718,0.085,0.005,0.13799500000000003,0.11169500000000003,0.7503399999999998,0.05506050000000002
-p6WWRarjNs,26,,,,,,,,,,,
-p6WWRarjNs,27,,,,,,,,,,,
-p6WWRarjNs,28,,,,,,,,,,,
-p6WWRarjNs,29,,,,,,,,,,,
